denom,cases,primary,pm25,pmcoarse,hs_orless,poverty
783,0,0,NA,NA,NA,NA
115,0,0,NA,NA,NA,NA
1275,4,0,8.91377259456696,26.4776386892187,51.1,27.5
1081,1,0,8.9158454399317,26.6727451314265,50.4,29.4
710,0,0,NA,NA,NA,NA
1907,6,0,8.87827024312484,27.2086513291184,65.7,49
1762,3,0,8.94921710190245,26.6832592362708,53.5,29.5
3656,14,0,8.20026330947791,24.0339705993186,58.5,29.9
3714,14,0,8.82659543624444,25.1879040462926,80.3,36.5
89,0,0,NA,NA,NA,NA
140,0,0,NA,NA,NA,NA
1397,4,0,8.27930402181189,23.8392379558173,20.9,4.8
2684,10,0,8.40112949862111,24.2684543493579,31.2,22.6
3116,10,2,8.3476468977396,24.4095495756244,38.6,17.2
3678,15,0,8.53451671702354,25.012936143086,55.6,33.6
4840,17,0,8.12595225497453,23.9197352581988,36,14.7
2520,7,0,8.6788654087724,25.7412318481709,68.4,36.7
5626,29,2,7.71609232700231,21.9185847245559,27.6,8.7
2307,11,0,8.5907596365619,25.0846097414335,68.6,29.5
5576,18,0,7.68673090868926,22.05417627266,38.5,16.7
5045,10,0,7.90513312726943,22.7056684721286,41.9,18.7
6581,22,1,7.1879291861913,20.6681728976741,32.3,10.1
3872,20,0,7.4425685081415,22.0451975655437,39.5,12.1
2063,5,0,6.15593049421227,16.7984928088045,25.3,3
1,0,0,NA,NA,NA,NA
2,0,0,NA,NA,NA,NA
3522,25,3,7.05753136219462,20.7521277709731,38.4,5.6
3961,18,0,7.22239281405184,20.3180101831932,22.8,2.8
5449,33,1,7.69970468752657,22.3117844322647,46.9,11.3
42,0,0,NA,NA,NA,NA
2348,10,1,8.634220367227,24.74013956764,75.4,26.6
7550,34,2,7.11571957668687,20.9189642438121,40,12.8
3458,17,1,8.45556839942125,23.7807850903562,72.9,26.4
572,2,0,8.77933093799942,26.2472724821466,74.8,59.9
2606,6,0,8.64866821671473,24.6321927139483,75.4,28.4
139,2,0,NA,NA,NA,NA
2588,16,1,8.3008614248415,23.2206427436231,54.4,13
4,0,0,NA,NA,NA,NA
2,0,0,NA,NA,NA,NA
2664,16,0,8.7060528353477,24.9352937392611,67.9,34.6
4225,11,0,8.55541783928159,22.8370302046441,61.2,21.4
3695,12,0,8.36672635312171,22.0332957551023,52.8,16.7
1426,7,0,8.52443316731628,23.1304398176162,62.5,11.6
4654,26,0,8.37327039705081,22.4464108681679,23.1,5.1
514,3,0,8.41155477864228,20.5970107340036,10.9,2.6
192,0,0,NA,NA,NA,NA
2507,12,1,8.29146701235608,20.9176207656107,16.2,5.4
3352,20,0,6.27640596140887,17.3823196399099,22.3,4.6
5091,14,0,8.19810453298529,23.9569826333624,52,18.9
3575,13,1,7.59916465909181,22.4995453155948,46.5,10.2
462,0,0,6.19093688560267,17.2356095129752,15,3.2
1,0,0,NA,NA,NA,NA
202,0,0,NA,NA,NA,NA
64,0,0,NA,NA,NA,NA
3,0,0,NA,NA,NA,NA
309,1,0,NA,NA,NA,NA
370,3,0,NA,NA,NA,NA
494,7,0,NA,NA,NA,NA
184,4,0,NA,NA,NA,NA
278,1,0,NA,NA,NA,NA
321,1,0,NA,NA,NA,NA
47,0,0,NA,NA,NA,NA
197,1,0,NA,NA,NA,NA
4,0,0,NA,NA,NA,NA
83,0,0,NA,NA,NA,NA
38,0,0,NA,NA,NA,NA
134,1,0,NA,NA,NA,NA
145,0,0,NA,NA,NA,NA
131,0,0,NA,NA,NA,NA
324,3,0,NA,NA,NA,NA
151,0,0,NA,NA,NA,NA
1116,2,0,6.40139856115771,17.3529970525753,17.8,1.8
1165,6,0,5.98900950592909,15.9753022126173,18.7,2.2
4081,15,0,5.79133923566575,14.9806089935672,24.4,3.1
1022,5,0,5.33959090004206,13.279990149196,28.8,0.7
556,7,0,NA,NA,NA,NA
3573,15,1,5.10780684128326,15.1674013204475,28.6,5.4
4477,16,0,5.78493277274503,17.8303198302744,41.8,7.1
6904,45,3,6.14042598973842,18.8936066724585,54.2,11.8
197,3,0,8.46896494670549,20.9758129009378,65.7,52.8
6996,38,2,8.96537220613817,24.3455031724042,47.1,14.2
1676,15,1,8.56444823969536,23.7908339633378,60.1,10.8
106,0,0,NA,NA,NA,NA
1898,19,0,7.07069136695832,20.7190375722274,55.5,19.5
623,1,0,NA,NA,NA,NA
1433,10,0,7.44906558022268,21.613571762388,70.6,23.9
2708,8,0,5.30691304015145,16.3945125457917,57.3,7.8
192,1,0,4.64744147076742,16.6230121565077,64.1,25
567,4,0,4.70374816079085,15.8492968184044,39,10.4
2314,12,1,9.8755329331702,24.8171431723043,31.7,3.3
1667,5,0,10.0060226873622,23.642248938892,42.7,8.2
1815,11,0,6.61326201908299,20.3666124557632,32.2,9
113,0,0,6.78701728811004,20.4161172502526,68.3,25.6
3164,20,1,7.08842547051324,20.1915780364117,33.1,5.6
2417,10,1,6.73539765185774,20.4685662467641,33,6.5
58,0,0,6.32532175464394,19.6130401289533,25.2,3.5
518,10,0,7.55231041796311,19.8761825842461,66.8,38
263,1,0,9.82884884630321,24.6219769919363,82.3,27.2
705,3,0,4.91144937549833,16.085845458963,55.6,12.9
392,0,0,NA,NA,NA,NA
1,0,0,NA,NA,NA,NA
71,0,0,NA,NA,NA,NA
369,1,0,4.05928708856636,13.0661598881523,59.8,22.9
446,2,0,9.14187008842395,23.7406820526275,65,18.8
1168,4,0,8.00369062135166,22.4341227872209,46.6,8.8
4997,23,1,7.70572276779528,23.1701420430361,54.8,13.4
3819,20,0,8.23319220748522,24.4809272165452,34.4,12.3
3980,18,0,7.03541521984649,20.7851778894157,44.3,11.8
5775,31,2,7.64709473528853,23.7945778646853,49.7,11.7
9284,47,1,6.9661018242974,21.533834825938,38.9,7.3
8976,87,1,7.24154638080156,22.8618474802177,39.2,8.4
5679,45,0,6.22253687231769,18.8041897653412,36,6.7
7642,57,0,6.9161605153676,22.0042325450568,49.1,8.9
7944,54,1,6.83500286091847,21.608597639742,37.5,6.1
2899,19,2,8.04203019011495,24.4645432225121,52.3,24.5
431,1,0,NA,NA,NA,NA
1621,3,0,6.70740128057649,19.9456695867331,28.3,6
4501,23,2,7.13052934392957,21.8610458598934,31.5,7.2
214,1,0,NA,NA,NA,NA
4269,27,2,5.3796560680617604,15.0195576172944,33,6.3
348,2,0,NA,NA,NA,NA
8,0,0,NA,NA,NA,NA
406,1,0,NA,NA,NA,NA
207,2,0,NA,NA,NA,NA
206,2,0,NA,NA,NA,NA
3,0,0,NA,NA,NA,NA
242,0,0,NA,NA,NA,NA
33,0,0,NA,NA,NA,NA
4086,28,0,8.34681254038636,24.5213653084148,29,7.9
5685,30,1,8.26153737940277,25.1153144773034,38.6,10.4
2812,17,0,8.29842595566957,20.7036636487525,19.7,2.8
39,0,0,NA,NA,NA,NA
8,0,0,NA,NA,NA,NA
54,0,0,NA,NA,NA,NA
88,3,0,NA,NA,NA,NA
3129,21,0,7.87428271874682,23.557684309209,25.6,6.6
3959,21,0,7.31945440447648,22.2246902064213,23.2,6
4,0,0,NA,NA,NA,NA
155,2,0,NA,NA,NA,NA
16,0,0,NA,NA,NA,NA
57,0,0,NA,NA,NA,NA
99,0,0,NA,NA,NA,NA
23,0,0,NA,NA,NA,NA
1,0,0,NA,NA,NA,NA
158,2,0,NA,NA,NA,NA
52,1,1,NA,NA,NA,NA
318,1,0,NA,NA,NA,NA
2,0,0,NA,NA,NA,NA
157,1,0,NA,NA,NA,NA
3,0,0,NA,NA,NA,NA
11630,73,1,8.24073086383775,22.6022377341106,24.3,2.5
4880,29,0,8.02717906331598,22.8722655198721,16.8,3
3929,44,0,6.92381769426606,19.6071305543059,19.9,2.4
6206,65,0,7.58143201759619,21.8804012489789,27.8,7.5
364,4,0,NA,NA,NA,NA
